NAME,TEAM,Goals
Cristiano Ronaldo,Al Nassr,11
Aleksandar Mitrovic,Al Hilal,8
Mourad Batna,Al Fateh,7
Moussa Dembélé,Al Ettifaq,7
Salem Al-Dawsari,Al Hilal,6
Malcom,Al Hilal,6
Cristian Tello,Al Fateh,6
Sadio Mané,Al Nassr,6
Georges-Kévin Nkoudou,Damac,6
Anderson Talisca,Al Nassr,6
Fashion Sakala,Al Fayha,5
Karim Benzema,Al Ittihad,5
Abderrazak Hamdallah,Al Ittihad,5
Feras Al-Brikan,Al Ahli,5
Odion lghalo,Al Wehda,5
Fåbio Martins,Al Khaleej,4
Riyad Mahrez,Al Ahli,4
Franck Kessié,Al Ahli,4
Assan Ceesay,Damac,4
Saleh Al Abbas,Al Riyadh,4
Bernard Mensah,Al Tai,4
Joäo Pedro,Al Taawoun,4
Tozé,Al Hazem,3
Lucas Zelarayån,Al Fateh,3
Amir Sayoud,Al Raed,3
Romarinho,Al Ittihad,3
Faycal Fajr,Al Wehda,3
Roberto Firmino,Al Ahli,3
Allan Saint-Maximin,Al Ahli,3
Robin Quaison,Al Ettifaq,3
Sergej Milinkovic-Savic,Al Hilal,3
Igor Coronado,Al Ittihad,3
Mohammed Fouzair,Al Raed,3
Falz Selemani,Al Hazem,3
Karl Toko Ekambi,Abha,3
Musa Barrow,Al Taawoun,3
Craig Goodwin,Al Wehda,3
Djaniny,Al Fateh,3
Ibanez,Al Ahli,2
Léandre Tawamba,Al Okhdood,2
Mateus,Al Taawoun,2
Andrei Burca,Al Okhdood,2
Vinicius,Al Hazem,2
Sofiane Bendebka,Al Fateh,2
Henry Onyekuru,Al Fayha,2
Waleed AI-Ahmed,Al Taawoun,2
Ahmed Abdu,Abha,2
Karim El Berkaoui,Al Raed,2
Saleh AI-Jamaan,Al Ittihad,2
Éver Banega,Al Shabab,2
